response_uuid,coder_id,question_set,question_id,response_transcript,transcriber_comments,response_category,coder_comments
b37cdf15-b4ee-4ee5-94eb-527316c0c2a5,Julio,gender,basketball,"[Okay, listen one more time. When they talk you have to look at the screen.] *replays question* Good? Good? [How could this be?] Good? [Do you have anything else to say?] Yep. [What?] Do you? Do you? [Alright. Think about your words, buddy! They said, how could this be?] Good? [Can you tell me more about it?] Yep!",NA,incorrect_response,"Only answer provided is ""Good"" (Being silly)"
0ccb37e2-f850-48f2-86de-a675731e4e45,Julio,gender,basketball,Because someone else scored the points,NA,incorrect_response,Does not answer the riddle question
aa4e4f34-4199-4cb5-9538-527ffc3e8557,Julio,gender,basketball,Because *pause* because there was no ball. They used their teams.,NA,incorrect_response,Does not make sense (Being silly)
6011eadf-4869-4de7-a7fe-818aa0041238,Julio,gender,basketball,*replays question* Because it goes automatically when at first.,NA,incorrect_response,Does not make logical sense (Being silly)
5ad23739-2b9a-4900-95a3-fafbf2e2171c,Julio,gender,basketball,There was no boy on the teams? Maybe that could answer.,NA,target_solution,Correctly implied that it was scored by girls
b28de70e-d5b1-4021-a9be-e1a1af8ee255,Julio,gender,basketball,"Maybe the boy didn't play soccer? [Wait, wait let's replay cus I don't think that. Let's just replay] *replays question* [Ok, so what's your answer?] Maybe they don't play soccer, so they don't know, so they don't really know how [Hmm, ok]",NA,incorrect_response,Changed the framing to soccer (Violates QN)
2d67b689-6d18-4993-b64d-96e1fcf06a36,Julio,gender,basketball,Because she was too good? [Do you want to listen to it again?] No... Because he didn't have a turn? [It's fine. You answer whatever you think. There is no... ],NA,incorrect_response,(Irrelevant)
1bd046ed-6ff4-4761-9d5c-57f1160882a3,Julio,gender,basketball,"[How could it be?] But I don't know the story. [Do you want me to hit replay? Do you want to hear it again?] *sigh* No. I just want to [You want to] *...* [Wylie, you want to guess? How could it be? Can you answer?]",NA,incorrect_noresponse,NA
1680310d-1927-4dd4-9935-75ee52816e56,Julio,gender,basketball,[What do you think?] I don't know [What's your best guess? You don't need to know] Don't know. I don't... I don't know [Sure],NA,incorrect_noresponse,NA
0e77d97e-b0f6-4595-94a8-ae10de08b164,Julio,gender,basketball,Because it was a girl's team?,NA,target_solution,NA
1f41ce08-ae6a-4dfc-bebf-3768d8bcaefe,Julio,gender,basketball,*unclear audio* [Ok. She says the other team scored points. Now let's find out the answer],NA,incorrect_response,Scoring own goals does not answer the riddle (Violates QN)
45e3b9a0-25b4-4e05-bc8c-12933eb0731a,Julio,gender,basketball,[How could this be?] *shakes head*,NA,incorrect_noresponse,NA
d1f0b574-2851-41b7-8618-08db849efe7f,Julio,gender,basketball,"Oh! Sad. [Think about it.] I said sad. [You said sad.] Yeah, I know it. [We can move on?] Uh-um.",NA,incorrect_response,(Being silly)
