response_uuid,question_set,question_id,response_transcript,transcriber_comments,coder2_category,coder2_comments,coder1_category,coder1_comments,coder1_accuracy,coder2_accuracy
b37cdf15-b4ee-4ee5-94eb-527316c0c2a5,gender,basketball,"[Okay, listen one more time. When they talk you have to look at the screen.] *replays question* Good? Good? [How could this be?] Good? [Do you have anything else to say?] Yep. [What?] Do you? Do you? [Alright. Think about your words, buddy! They said, how could this be?] Good? [Can you tell me more about it?] Yep!",NA,incorrect_response,"Only answer provided is ""Good"" (Being silly)",incorrect_noresponse,nonsense,FALSE,FALSE
0ccb37e2-f850-48f2-86de-a675731e4e45,gender,basketball,Because someone else scored the points,NA,incorrect_response,Does not answer the riddle question,alternative_solution,NA,FALSE,FALSE
5ad23739-2b9a-4900-95a3-fafbf2e2171c,gender,basketball,There was no boy on the teams? Maybe that could answer.,NA,target_solution,Correctly implied that it was scored by girls,alternative_solution,NA,FALSE,TRUE
391542a4-4479-45d2-8f29-21bf6b3e17ad,gender,basketball,Cause it's boys against girls?,NA,target_solution,NA,alternative_solution,close!,FALSE,TRUE
bd95fe82-64bf-4311-83d5-ca6f1392ba58,gender,basketball,[No. Try to answer the question - riddle. Do you want to replay?] No. I have no idea [That's really good] Because it was what... Because it was not; Because there weren't any boys?,NA,target_solution,"Debatable as to whether he fully reached the implied conclusion that if there are no boys, there must be girls. My take is this is target_solution",alternative_solution,NA,FALSE,TRUE
7d60b835-b129-48bf-b7c0-c8c227dd7267,gender,basketball,"[How can that be? No, don't press next. You heard the question. You want to hear the question again?] *nods* I don't know. [How could it be?] I don't know. [Take a guess.] 100 scores. [100 scores is not the answer. Do you want to hear the question again? Pay attention, all right.] *nods* [How could it be?] I don't know. [You don't know? Okay, then we are moving on to the next question.",NA,incorrect_response,"""100 scores"" does not answer the riddle, but it is still a form of incorrect response (Being silly)",incorrect_noresponse,NA,FALSE,FALSE
87e7f3f3-88bb-4d75-b2e7-fd1dde221c1f,viewing,bedroom,Maybe it's automatic. [Maybe the light is automatic?] yes.,NA,alternative_solution,Debatable. Could be alternative if we consider automatic as motion-based automatic switches.,incorrect_response,NA,FALSE,FALSE
498478ae-3119-4180-b550-798381b633de,viewing,bedroom,"Uhm.. Maybe the power went out after he went to bed. [Oh, the power went out after he went to bed?] Uh-um.",NA,incorrect_response,"(Irrelevant) It does not matter if the power went out; The bedroom was bright, not dark.",alternative_solution,~ similar to one written on the doc: “Because the light turned off veeeery slowly.” (dimming lights exist),FALSE,FALSE
189ebb1e-b640-4d9a-8df9-a4172951de4a,viewing,bedroom,"Hmmm, turtle [A turtle?] No no no [No, what?] TV [Oh because of the TV? Okay let's see] *distraction*",NA,incorrect_response,(Being silly),incorrect_noresponse,NA,FALSE,FALSE
94f1b131-f04a-4027-ba90-ccb9b9cc76d5,container,bucket,"[How could that be? Don't click yet, answer first] Um I don't know [Do you want to hear the question again?] Uhum *replays question* Because... Uhm, because she supposed to use her hand or not she would drop it at the carpet. Because, hm, need to use the hand, because the bucket doesn't have a cap or the scrawl. Or we have a handle. It doesn't have any water inside, so just clear. Just clear bucket. Because, hm, need to use the hand, because the bucket doesn't have a cap or the scrawl. Or we have a handle.",NA,target_solution,NA,incorrect_response,NA,FALSE,TRUE
49a7eb58-b827-4273-821b-48a8b717b7b2,container,bucket,"[Tell the penguin] Well, he can't be *unclear audio* or he can up, he can get me, bet.",NA,incorrect_response,(Being silly),incorrect_noresponse,NA,FALSE,FALSE
32470480-ca2b-4c13-8101-a8d434f4b3e5,container,bucket,Because it had dirt in it [Because it had dirt in it? Hahaha],NA,target_solution,NA,incorrect_response,NA,FALSE,TRUE
