response_uuid,response_video_privacy,response_databrary,gender,languages,child_hashed_id,trial_num,questionAndResponseDuration,parentCode,question_set,question_id,age_months,trial_number,transcriber_id,response_transcript,feedback_transcript,transcriber_comments,trial_exclusion_reason,parentCode_judgedBy,coder_id,response_category
848bc65c-c115-4c84-a3c7-67f43a591994,scientific,yes,m,en,HSMWNZ,0,18.563,no_answer,gender,basketball,64,1,Julio,Click next,"And press one of these buttons? [Wait, wait, wait, Preston] What? [Ok, I'm gonna help you with this one. You gotta say the answer out loud]",The child stood in silence and skipped the question.,skipped trial,child,NA,NA
848bc65c-c115-4c84-a3c7-67f43a591994,scientific,yes,m,en,HSMWNZ,1,71.084,different,gender,teacher,64,2,Julio,I think because it's different for some reason? [Huh?] Because it's different? [What is different] The painter [The painter is different from who?] From his brother [Yeah. Let's replay this. You gotta listen] *replays question* I'd say he does have sisters [So you think they are sisters?] *nods* [Click next],"[Okay. Here, click this one. Next]",NA,include,parent,Cecilia,incorrect_response
848bc65c-c115-4c84-a3c7-67f43a591994,scientific,yes,m,en,HSMWNZ,2,53.343,different,gender,firefighter,64,3,Julio,"Hm, I say that's a... Say, I'd say sharing pizza is good [Let's replay this] *replays question* I think cus, uhm... That's not a firefighter and it is a brother [So they are brothers?] Yeah [Ok, click next]","Oh yeah, a point again? [So click the middle one, and then click next]",NA,include,parent,Cecilia,incorrect_response
848bc65c-c115-4c84-a3c7-67f43a591994,scientific,yes,m,en,HSMWNZ,3,26.359,different,container,potato,64,4,Julio,Because they are big and he had a big box [A big box?] Yeah,"[So click the middle one, and then click next] So I click that one? [Yeah, and hit next]",NA,include,parent,Jiayi,incorrect_response
848bc65c-c115-4c84-a3c7-67f43a591994,scientific,yes,m,en,HSMWNZ,4,46.615,different,container,bucket,64,5,Julio,Can I listen to it again? Cus I just missed the other part [Okay] *replays question* Because he got robbed [What did you say?] He got robbed,"Click the middle one? [Yes] Oh, we are halfway done. Almost there.",NA,include,parent,Jiayi,incorrect_response
848bc65c-c115-4c84-a3c7-67f43a591994,scientific,yes,m,en,HSMWNZ,5,24.553,different,container,cup,64,6,Julio,Because it was empty? [Let's see] Is it empty? *laughs*,"Oh! [So click the middle button, ok?] That was funny!",NA,include,parent,Jiayi,incorrect_response
848bc65c-c115-4c84-a3c7-67f43a591994,scientific,yes,m,en,HSMWNZ,6,53.001,different,viewing,bedroom,64,7,Julio,"Did it *unclear audio* [Well, I don't know. What do you think? How did he get in bed before the light turns off?] Cus he... He got in bed and he step in, he got, cus, step on it [Oh ok, go to the next one]",[Now click the middle one] Ok.,Could not understand what the child was saying after multiple attempts. Double-check advised.,include,parent,Janie,incorrect_response
848bc65c-c115-4c84-a3c7-67f43a591994,scientific,yes,m,en,HSMWNZ,7,36.474,different,viewing,cow,64,8,Julio,"Would... Window? [All right good one, click the next one]",Click the middle one? [Yeah] One more left,NA,include,parent,Janie,incorrect_response
848bc65c-c115-4c84-a3c7-67f43a591994,scientific,yes,m,en,HSMWNZ,8,35.417,different,viewing,keys,64,9,Julio,"Cus the light is out [The light is out? Okay, good]",*no reaction*,NA,include,parent,Janie,incorrect_response
f31e02fe-d1f9-44de-99cf-df50f1ce0997,private,yes,m,en hi,cEHCdd,0,76.613,similar,viewing,cow,81,1,Julio,[You need to respond the question] Because... [*foreign language*] *replays question* Because it was still bright,*foreign language*,Parent sometimes not speaking English,include,parent,Janie,target_solution
f31e02fe-d1f9-44de-99cf-df50f1ce0997,private,yes,m,en hi,cEHCdd,1,72.601,different,viewing,bedroom,81,2,Julio,Because the bed was so so close,Different. Different [*foreign language*] *foreign language*,Parent and child discuss in foreign language at the feedback section,include,parent,Janie,incorrect_response
f31e02fe-d1f9-44de-99cf-df50f1ce0997,private,yes,m,en hi,cEHCdd,2,55.499,similar,viewing,keys,81,3,Julio,"Because it was daytime, it was so bright",*foreign language*,Parent and child discuss in foreign language at the feedback section for the second time. The parent leaves and the child continues the study alone.,include,parent,Janie,target_solution
f31e02fe-d1f9-44de-99cf-df50f1ce0997,private,yes,m,en hi,cEHCdd,3,19.116,similar,gender,basketball,81,4,Julio,Because the goals were *unclear audio* and the boys were not playing good.,*singing*,NA,include,child,Cecilia,incorrect_response
f31e02fe-d1f9-44de-99cf-df50f1ce0997,private,yes,m,en hi,cEHCdd,4,47.711,similar,gender,teacher,81,5,Julio,"Because, because it were not the teacher sister.",*no reaction*,NA,include,child,Cecilia,incorrect_response
f31e02fe-d1f9-44de-99cf-df50f1ce0997,private,yes,m,en hi,cEHCdd,5,21.634,no_answer,gender,firefighter,81,6,Julio,*no response*,*no reaction*,NA,skipped trial,child,NA,NA
f31e02fe-d1f9-44de-99cf-df50f1ce0997,private,yes,m,en hi,cEHCdd,6,16.839,no_answer,container,bucket,81,7,Julio,*no response*,*no reaction*,Parent returns,skipped trial,child,NA,NA
f31e02fe-d1f9-44de-99cf-df50f1ce0997,private,yes,m,en hi,cEHCdd,7,44.025,different,container,cup,81,8,Julio,Because... [*foreign language*] *replays question* Because there was no water in the bucket,Different?,NA,include,child,Jiayi,incorrect_response
f31e02fe-d1f9-44de-99cf-df50f1ce0997,private,yes,m,en hi,cEHCdd,8,16.067,no_answer,container,potato,81,9,Julio,*no response*,*no reaction*,NA,skipped trial,child,NA,NA
f166bbed-3a24-4d93-99bf-2b8ab592442a,scientific,yes,f,en,ACWT5D,0,43.301,different,viewing,keys,65,1,Julio,With a light? [What kind of light?] Ummm... From her house?,*no reaction*,NA,include,parent,Janie,incorrect_response
f166bbed-3a24-4d93-99bf-2b8ab592442a,scientific,yes,f,en,ACWT5D,1,33.314,similar,viewing,cow,65,2,Julio,Cuz the sun is still out,Mom?,NA,include,parent,Janie,target_solution
f166bbed-3a24-4d93-99bf-2b8ab592442a,scientific,yes,f,en,ACWT5D,2,68.099,similar,viewing,bedroom,65,3,Julio,[You want to hear it again?] *nods* *replays question* Because its the daytime?,Easy! That's easy.,NA,include,parent,Janie,target_solution
f166bbed-3a24-4d93-99bf-2b8ab592442a,scientific,yes,f,en,ACWT5D,3,19.161,no_answer,container,potato,65,4,Julio,[Want to hear it again?] Uhum *replays question* [What did you say?] Nothing. I don't know.,*no reaction*,NA,include,parent,Jiayi,incorrect_noresponse
f166bbed-3a24-4d93-99bf-2b8ab592442a,scientific,yes,f,en,ACWT5D,4,79.532,different,container,cup,65,5,Julio,"[Jena, don't click next, you gotta answer. You wanna hear it again?] Uhum *replays question* [How could that be?] Hmm... I don't know [Take a guess. What's your best guess?] Because it was water? [So it was full of water?] Mm-hmm [So it didn't get wet?]",Why? I'm...,NA,include,parent,Jiayi,incorrect_response
f166bbed-3a24-4d93-99bf-2b8ab592442a,scientific,yes,f,en,ACWT5D,5,27.563,similar,container,bucket,65,6,Julio,Cause there was no water?,That is easy for me!,NA,include,parent,Jiayi,target_solution
f166bbed-3a24-4d93-99bf-2b8ab592442a,scientific,yes,f,en,ACWT5D,6,59.687,different,gender,teacher,65,7,Julio,"[Do you want to listen to it again? Or do you want to think?] I don't know [Do you want to listen to it again?] *replays question* Because... When she was born, she was the only kid?","[Aaah do you get it? So the teacher was a guy. So the artist is his sister, but she doesn't have sisters 'cause he's a brother] Hahaha",NA,include,parent,Cecilia,incorrect_response
f166bbed-3a24-4d93-99bf-2b8ab592442a,scientific,yes,f,en,ACWT5D,7,22.876,similar,gender,firefighter,65,8,Julio,[What do you think?] Cause its his sister?,I knew that! I got it!,NA,include,parent,Cecilia,target_solution
f166bbed-3a24-4d93-99bf-2b8ab592442a,scientific,yes,f,en,ACWT5D,8,47.76,different,gender,basketball,65,9,Julio,I do not know mom [Why don't you take a guess?] Because the other team had zero?,"[Ah, do you get it? ] Yeah [There are no boys, just...]",NA,include,parent,Cecilia,incorrect_response
7e6f1d73-84ec-4f11-8f7e-00ad37ce2ef3,scientific,yes,f,en,3MQSGB,0,33.028,similar,gender,teacher,46,1,Julio,"Uhm... Because, uhm, he... He was the brother?",[Yeah] Yeah,NA,include,parent,Cecilia,target_solution
7e6f1d73-84ec-4f11-8f7e-00ad37ce2ef3,scientific,yes,f,en,3MQSGB,1,23.76,different,gender,firefighter,46,2,Julio,Because she was... Older than him?,[Sister],NA,include,parent,Cecilia,incorrect_response
7e6f1d73-84ec-4f11-8f7e-00ad37ce2ef3,scientific,yes,f,en,3MQSGB,2,23.87,similar,gender,basketball,46,3,Julio,"Because, uhm, he didn't have any points? Because she, there were only Bills?",*no reaction* *smile*,NA,include,parent,Cecilia,incorrect_response
7e6f1d73-84ec-4f11-8f7e-00ad37ce2ef3,scientific,yes,f,en,3MQSGB,3,33.113,similar,viewing,bedroom,46,4,Julio,Because it was still day?,*smiles* Monkey!,NA,include,parent,Janie,target_solution
7e6f1d73-84ec-4f11-8f7e-00ad37ce2ef3,scientific,yes,f,en,3MQSGB,4,34.909,different,viewing,cow,46,5,Julio,Because the *unclear audio audio* [Because what?] Because the sister he got on him.,*no reaction*,Could not understand what the child was saying after multiple attempts. Double-check with the team,include,parent,Janie,incorrect_response
7e6f1d73-84ec-4f11-8f7e-00ad37ce2ef3,scientific,yes,f,en,3MQSGB,5,27.326,similar,viewing,keys,46,6,Julio,Because it's right in her house,*no reaction*,NA,include,parent,Janie,incorrect_response
7e6f1d73-84ec-4f11-8f7e-00ad37ce2ef3,scientific,yes,f,en,3MQSGB,6,19.376,similar,container,cup,46,7,Julio,"Because of hero, seeing a hero, in it",*no reaction*,NA,include,parent,Jiayi,incorrect_response
7e6f1d73-84ec-4f11-8f7e-00ad37ce2ef3,scientific,yes,f,en,3MQSGB,7,26.958,different,container,potato,46,8,Julio,Because... he had something special [Because what?] Because he got something special [Because you got what?] Something special [He got something special],"[Oh, no potatoes!] Potatoe!!!",NA,include,parent,Jiayi,incorrect_response
7e6f1d73-84ec-4f11-8f7e-00ad37ce2ef3,scientific,yes,f,en,3MQSGB,8,28.978,similar,container,bucket,46,9,Julio,"[Listen] Because it didn't have any water [Because it didn't have any water?] I want to press it [No no no, don't press that] I won't",*no reaction*,NA,include,parent,Jiayi,target_solution
b28de70e-d5b1-4021-a9be-e1a1af8ee255,private,no,f,en fr,7XTFYQ,0,50.555,different,viewing,bedroom,71,1,Julio,"[You just answer. What answer do you think it could be?] Hmm, maybe he ran? [You think he ran? Ok, click next]",That is not...,NA,include,parent,Janie,incorrect_response
b28de70e-d5b1-4021-a9be-e1a1af8ee255,private,no,f,en fr,7XTFYQ,1,103.175,similar,viewing,keys,71,2,Julio,"Was it daytime? [No, it was night] Oh yeah. Hmm... Her phone... [She didn't have a phone. Now, listen to it again, listen carefully] *replays question* It's sunset! [I think is already past that, but if you want to submit it click next]","[You were right! Okay, that was kinda what you said. You said sunset. Okay, so we will say similar. It worked. Click next]",NA,include,parent,resolved,target_solution
b28de70e-d5b1-4021-a9be-e1a1af8ee255,private,no,f,en fr,7XTFYQ,2,51.231,similar,viewing,cow,71,3,Julio,Light? [He hadn't lights on] Because the sun was still out? [Maybe. You think the sun was still out?] It was daytime,[Good job! Click on that one],NA,include,parent,Janie,target_solution
b28de70e-d5b1-4021-a9be-e1a1af8ee255,private,no,f,en fr,7XTFYQ,3,21.992,different,container,cup,71,4,Julio,"There's no water in it [What you said? Hmm, maybe!]",*no reaction*,NA,include,parent,Jiayi,target_solution
b28de70e-d5b1-4021-a9be-e1a1af8ee255,private,no,f,en fr,7XTFYQ,4,53.292,similar,container,bucket,71,5,Julio,"Hmm... There was sand on it? Or, or there was nothing on it [Click next again]","Hey! [Good job] But the sand one was wrong [That's okay, sand... They could be just no water, okay? That's what they are saying]",NA,include,parent,Jiayi,target_solution
b28de70e-d5b1-4021-a9be-e1a1af8ee255,private,no,f,en fr,7XTFYQ,5,20.718,similar,container,potato,71,6,Julio,There was heavy stuff in it?,*no reaction*,NA,include,parent,Jiayi,alternative_solution
b28de70e-d5b1-4021-a9be-e1a1af8ee255,private,no,f,en fr,7XTFYQ,6,28.428,similar,gender,firefighter,71,7,Julio,"Maybe it was a sister? Like, girl? [Hmm, okay so one is a boy and one is a girl?] Yeah [Ok]","[It's a sister! Good job you got it, click on that one]",NA,include,parent,Cecilia,target_solution
b28de70e-d5b1-4021-a9be-e1a1af8ee255,private,no,f,en fr,7XTFYQ,7,53.418,different,gender,basketball,71,8,Julio,"Maybe the boy didn't play soccer? [Wait, wait let's replay cus I don't think that. Let's just replay] *replays question* [Ok, so what's your answer?] Maybe they don't play soccer, so they don't know, so they don't really know how [Hmm, ok]",What?,NA,include,parent,Cecilia,incorrect_response
b28de70e-d5b1-4021-a9be-e1a1af8ee255,private,no,f,en fr,7XTFYQ,8,94.284,different,gender,teacher,71,9,Julio,"Maybe one of them forgot. That they were sisters [You think they forgot they were sisters?] Wait, actually no... Hm [Listen to it again] *replays question* I don't know [You don't know] Yeah [Ok, click next]",*no reaction*,NA,include,parent,Cecilia,incorrect_response
494426a0-a58a-44be-8a58-fdf14cb1d8d5,private,no,m,en,5VUKP7,0,38.692,different,viewing,keys,77,1,Julio,Cause she could see them? Cause she could see them? [Okay],"Mom, why did you click it for me? *fussy* [Ok, you click next]",NA,include,parent,Janie,incorrect_response
494426a0-a58a-44be-8a58-fdf14cb1d8d5,private,no,m,en,5VUKP7,1,34.798,different,viewing,bedroom,77,2,Julio,"[No no no, you have to answer before you hit next] Because there was a timer?",[You said something different. It doesn't matter] Different! [They don't care],NA,include,parent,Janie,incorrect_response
494426a0-a58a-44be-8a58-fdf14cb1d8d5,private,no,m,en,5VUKP7,2,32.692,similar,viewing,cow,77,3,Julio,"[You answer, no, no, no, no, no, don't hit that] Because the sun was out",Different! [No you said something similar. It doesn't matter which one it is. You just have to... They just don't want to know],NA,include,parent,Janie,target_solution
494426a0-a58a-44be-8a58-fdf14cb1d8d5,private,no,m,en,5VUKP7,3,22.844,similar,container,bucket,77,4,Julio,Because there's no water in it,I was right! Same [You said something similar],NA,include,parent,Jiayi,target_solution
494426a0-a58a-44be-8a58-fdf14cb1d8d5,private,no,m,en,5VUKP7,4,20.781,different,container,potato,77,5,Julio,Because there's a lot of potatoes,I was right [No it doesn't...] Different! We don't care about that stupid penguin.,NA,include,parent,Jiayi,incorrect_response
494426a0-a58a-44be-8a58-fdf14cb1d8d5,private,no,m,en,5VUKP7,5,18.986,different,container,cup,77,6,Julio,Because of stock!,*laughs*,NA,include,parent,Jiayi,incorrect_response
494426a0-a58a-44be-8a58-fdf14cb1d8d5,private,no,m,en,5VUKP7,6,27.074,similar,gender,teacher,77,7,Julio,Because he has a brothers!,But I'm right. I said right,NA,include,parent,Cecilia,target_solution
494426a0-a58a-44be-8a58-fdf14cb1d8d5,private,no,m,en,5VUKP7,7,17.562,similar,gender,firefighter,77,8,Julio,Because he has sisters!,*no reaction*,NA,include,parent,Cecilia,target_solution
494426a0-a58a-44be-8a58-fdf14cb1d8d5,private,no,m,en,5VUKP7,8,20.765,different,gender,basketball,77,9,Julio,Because there's no soccer ball. There's no soccer ball!,Huh?,NA,include,parent,Cecilia,incorrect_response
91486bd4-1e86-45ab-ae0e-0739fc6f79b8,private,no,m,en,EFDMdE,0,59.439,similar,container,potato,68,1,Kacper,"[How can this be? You want to play it again?] Yeah [If you want to think about it, you can click the blue button] Because the other one, have less the... Have less heavy things in it. [Because the other one has less heavy things in it?]",*no reaction*,NA,include,parent,Jiayi,alternative_solution
