child_hashed_id,transcriber_id,video_duration,trial_num,question_set,question_id,riddle_start_time,riddle_stop_time,response_start_time,response_transcript,feedback_start_time,feedback_stop_time,feedback_transcript,trial_exclusion_reason,who_judged_response_similarity_during_feedback?,transcriber_comments,child_gender,age_months,child__language_list,response_category,parentCode
J4KER4,Janie,11:12,1,container,bucket,"00:47, 01:13","01:02, 01:28",01:04,"[Does that answer the question?] I don't want to. [It's part of the game. You want to replay it? Were you listening?] *replays question* Yes? [How was there no water in it? How did no water fall into?] Because it's empty? [Okay.] Don't do it. I don't want to do it. [Press next. Mommy's not gonna help you with the next one, okay?] Thank you.",01:42,01:52,*no reaction*,include,parent,NA,m,59,en,target_solution,similar
J4KER4,Janie,11:12,2,container,cup,"02:11, 02:29","02:25, 02:43",02:45,"Uh, I don't know. [Just guess something.] Um, I don't, empty?",02:58,03:11,*no reaction*,include,parent,NA,m,59,en,incorrect_response,different
J4KER4,Janie,11:12,3,container,potato,"03:29, 03:55","03:43, 04:10",03:47,"Maybe. [It's not a maybe question. Replay it and listen to what they're saying.] *replays question* Mmm. I don't know um, I don't know what to say it. [Just guess baby.] I want you to say. [I'm not saying it, you guess.] The answer? [What's the answer?] I don't know. The question? [Why is the three bag, why is the one bag of potatoes not weigh as much as the, why does the one bag of potatoes weigh more than the three bags of potatoes?] Because there are more?",04:51,05:03,*no reaction*,include,parent,NA,m,59,en,alternative_solution,similar
J4KER4,Janie,11:12,4,viewing,keys,05:15,05:39,05:40,Cause it's the dark.,05:45,05:54,*no reaction*,include,parent,NA,m,59,en,incorrect_response,similar
J4KER4,Janie,11:12,5,viewing,cow,06:12,06:37,06:41,"[What's your answer?] Um, because the driver was gonna stop him and he was gonna grab him. [Grab him?] Yeah.",06:57,07:14,*no reaction*,include,parent,NA,m,59,en,incorrect_response,different
J4KER4,Janie,11:12,6,viewing,bedroom,07:25,07:49,07:50,"Cause it was dark, it would be dark.",07:55,08:11,*no reaction*,include,parent,NA,m,59,en,incorrect_response,different
J4KER4,Janie,11:12,7,gender,firefighter,08:25,08:39,08:39,Cause it's too little. And the firefighter will be big and the brother was little.,08:48,09:01,*no reaction*,include,parent,NA,m,59,en,alternative_solution,different
J4KER4,Janie,11:12,8,gender,basketball,09:18,09:30,09:30,"Because the other team has zero, and the other team has thirty.",09:38,09:52,*no reaction*,include,parent,NA,m,59,en,incorrect_response,different
J4KER4,Janie,11:12,9,gender,teacher,"10:08, 10:32","10:26, 10:49",10:26,"Cause, cause it has no sisters. I'm sorry. [Listen to it again.] *replays question* 'Cause it has no sisters with a teacher.",10:58,11:12,"I know, mom!",include,parent,NA,m,59,en,incorrect_response,different
3BcZWC,Julio,12:40,1,viewing,keys,00:40,01:04,01:15,Because it doesn't blend in with the grass?,01:26,02:10,*no reaction*,include,child,NA,f,82,en,incorrect_response,different
3BcZWC,Julio,12:40,2,viewing,cow,02:28,02:53,03:06,"Because he was... Cow, he was far away, so he could see the cow on the road?",03:21,03:36,*no reaction*,include,child,NA,f,82,en,incorrect_response,similar
3BcZWC,Julio,12:40,3,viewing,bedroom,03:49,04:13,04:38,"He didn't turn off the light before he went to bed, but then his parents turned the light off. [*unclear audio*]",05:08,05:28,*no reaction*,include,child,unclear audio from the parent,f,82,en,incorrect_response,similar
3BcZWC,Julio,12:40,4,container,potato,05:40,05:54,06:07,Because he has more potatoes in his bag than the other three bags [*unclear audio*],06:18,06:34,*no reaction*,include,child,unclear audio from the parent,f,82,en,alternative_solution,similar
3BcZWC,Julio,12:40,5,container,cup,06:53,07:07,07:20,Because it was something when she dropped it in... [*unclear audio*],07:29,07:59,I said similar. I said similar. Next.,include,child,NA,f,82,en,incorrect_response,similar
3BcZWC,Julio,12:40,7,gender,firefighter,09:36,09:50,09:55,Because the little one is really fast,10:09,10:27,*no reaction*,include,child,NA,f,82,en,incorrect_noresponse,different
3BcZWC,Julio,12:40,8,gender,teacher,10:42,10:59,11:10,Because it's not her sister.,11:19,11:32,*no reaction*,include,child,NA,f,82,en,incorrect_response,similar
3BcZWC,Julio,12:40,9,gender,basketball,11:56,12:08,12:11,Because he's really good at it.,12:23,12:41,*no reaction*,include,child,NA,f,82,en,incorrect_response,similar
J3QFLW,Kacper,10:35,1,viewing,keys,00:42,01:06,01:06,"Hmm.. don't know. [What's your guess?] Hm, ehm, they got *gesticulate* [Her eyes are so big she saw them?] Yeah, yeah [Okay.]",01:19,01:28,*no reaction*,include,parent,"For the whole video, the audio quality made it incredibly hard to transcribe. I tried my best, but almost all answers were barely- or not understandable.",m,46,en,incorrect_response,different
J3QFLW,Kacper,10:35,2,viewing,bedroom,01:43,02:07,02:08,"Ehm, I think it is because he was so fast. [He was so fast?]",02:15,02:28,*no reaction*,include,parent,NA,m,46,en,incorrect_response,different
J3QFLW,Kacper,10:35,3,viewing,cow,02:41,03:06,03:10,"Hmm, hmm, I think it's because - I don't know [What's your guess? Any guess?] Pickles? [(Pickles?) Tell me more about that.] Because, the train got tickled [Because the train got tickled? How does that the driver see the cow?] Hmm, I don't- [Why do you think- how did he saw the cow?] Don't know. Maybe after the window up. [Through the window of the truck?] Yeah.",03:51,04:01,Piggie!,include,parent,NA,m,46,en,incorrect_response,different
J3QFLW,Kacper,10:35,4,container,potato,"04:10, 04:53","04:25, 05:08",04:26,"I think because he was - I don't know. [What do you think? What is your guess?] *unclear audio* [What?] *unclear audio* [The instructions are that you just give a guess.] I think- [Let's play it back.] *replays question* Hm... [What do you think?] They played outside, and the ball *unclear audio* [The ball went in there, they were playing outside?] Yeah, I think so.",05:22,05:32,Monkey!,include,parent,NA,m,46,en,incorrect_response,different
J3QFLW,Kacper,10:35,5,container,bucket,05:43,05:58,06:04,Maybe it - it stand up [Stand up and be still?] I think so,06:08,06:16,Penguin!,include,parent,NA,m,46,en,incorrect_response,different
J3QFLW,Kacper,10:35,6,container,cup,06:25,06:39,06:38,I think because it was not full of anything. [It was not fully of anything?],06:47,06:59,"How is that *unclear audio* [Cause it said it had like, no water in it.]",include,parent,NA,m,46,en,incorrect_response,similar
J3QFLW,Kacper,10:35,7,gender,teacher,07:14,07:32,07:33,I think it's because the bear didn't have any sister [The bear didn't have any sister?] Yeah.,07:41,07:51,*no reaction* [*slight smile*],include,parent,NA,m,46,en,incorrect_response,different
J3QFLW,Kacper,10:35,8,gender,basketball,"08:06, 08:26","08:18, 08:38",08:39,"Hm, I don't know how [How could that be? How... Why don't you take a guess.] They play outside. [Yeah, alright]",08:53,09:10,[Did you understand it? Cause there were girls playing.] Ah! [That's why not...],include,parent,NA,m,46,en,incorrect_response,different
EP7FQ6,Julio,11:29,1,gender,basketball,"00:39, 00:55","00:51, 01:07",00:51,"Can you click it again? *replays question* I don't know [I know. That thing's long. So they had 30 points, and nobody on the team scored a point. How could this be?] They lose [They lose?]",01:26,01:43,*no reaction*,include,parent,NA,m,61,en nl so,incorrect_response,different
EP7FQ6,Julio,11:29,2,gender,teacher,02:01,02:18,02:23,I don't know [Want to hear it one more time?] No [Think for a second] Secorty [Celebrity?] Yeah.,02:41,03:21,"Definitely? [Did you... Did you hear what she said?] Yes [So the artist says it's my sister, or the kindergarten teacher says that's my sister and the... The artist is like, I don't have a sister because the kindergarten teacher has a brother, has a sister. But the sister doesn't have a sister. Okay, you've got to think a little bit about what this is]",include,parent,NA,m,61,en nl so,incorrect_response,different
EP7FQ6,Julio,11:29,3,gender,firefighter,"03:42, 04:01","03:56, 04:14",03:30,"I don't know [Put your knees down because they can see your face. I know it's a little tricky, but just because it's tricky, we don't need to stop. You can continue... I'm going to replay it one more time because it might help] *replays question* [You have an idea?] No [Are you picturing it in your head? The older one is the brother of the younger one. Are you thinking?] Hm... No. I'm looking under the black [Ok. Can you take a second to think? Do you want to hear it one last time?] No... [So what is your answer] The sister doesn't have a brother [Hm?] The sister doesn't have a brother [The sister doesn't have a brother]",05:09,05:21,"Okay what's that... [Okay, we have six more, okay?]",include,parent,NA,m,61,en nl so,incorrect_response,similar
EP7FQ6,Julio,11:29,4,viewing,cow,05:33,05:58,06:02,Cause he was in his truck [Okay],06:05,06:17,Monkeey!,include,parent,NA,m,61,en nl so,incorrect_response,different
EP7FQ6,Julio,11:29,5,viewing,bedroom,06:32,06:56,06:58,Put on his pijamas!,07:01,07:14,*no reaction*,include,parent,NA,m,61,en nl so,incorrect_response,different
EP7FQ6,Julio,11:29,6,viewing,keys,"07:24, 08:05","07:48, 08:29",07:53,"I don't know [Okay, I'm gonna replay it one more time] No!!! [Listen, I want you to close your eyes and picture it. Listen, because when I close my eyes, I listen better. Let's try it, okay?] *replays question* [What do you think? How did she see her keys?] Cause maybe she had a flashlight [Okay]",08:39,08:53,[It was day time. The sun was still out. The moon was not out and the lights were not out] Ah... [Do you want to close your eyes for it? It helps me to listen] Yeah.,include,parent,NA,m,61,en nl so,incorrect_response,different
EP7FQ6,Julio,11:29,7,container,bucket,09:05,09:20,09:23,"Ok, I think I know. Because it was frozen [Oh, okay]",09:27,09:41,"[Oh, it didn't have any water inside. It says no water, so it cannot spill water, right? I like your guess though. Two more, okay] Yeah",include,parent,NA,m,61,en nl so,alternative_solution,different
EP7FQ6,Julio,11:29,8,container,potato,09:55,10:10,10:10,Ok. Because it has like 10 in it [Okay] or maybe like... It 100 [Okay.],10:26,10:37,[Ah! One bag had potatoes but the other ones didn't],include,parent,NA,m,61,en nl so,incorrect_response,different
EP7FQ6,Julio,11:29,9,container,cup,10:51,11:05,11:06,Because there was no tea in it.,11:10,11:29,"[Ah, something dry. Something dry doesn't get wet. Okay. What did you say you said? Ah. Because it hasn't tea]",include,parent,NA,m,61,en nl so,target_solution,different
H7QKC6,Julio,07:53,1,container,bucket,00:38,00:54,01:00,[Any ideas?] I don't know,01:12,01:22,*no reaction*,include,parent,NA,m,67,en,incorrect_noresponse,no_answer
H7QKC6,Julio,07:53,2,container,cup,01:38,01:52,01:31,[Looks like a lot of questions] It's a tiny one *pause* Because it landed on the top of the sippy cup?,02:02,02:14,[*Laughs* Couple more to do] One of my favorite animals! Koala!,include,parent,NA,m,67,en,incorrect_response,different
H7QKC6,Julio,07:53,3,container,potato,02:27,02:41,02:43,"[Do you want me to play it again?] No, I know. I'm thinking. Because there was more potatoes in one bag?",02:53,03:03,"Whoah, how?",include,parent,NA,m,67,en,alternative_solution,similar
H7QKC6,Julio,07:53,4,gender,basketball,03:14,03:26,03:27,Because someone else scored the points,03:32,03:43,[Oh] One of monkeys!,include,parent,NA,m,67,en,incorrect_response,similar
H7QKC6,Julio,07:53,5,gender,teacher,03:55,04:13,04:14,Because she doesn't remember?,04:19,04:27,*no reaction*,include,parent,NA,m,67,en,incorrect_response,different
H7QKC6,Julio,07:53,6,gender,firefighter,04:40,04:54,04:56,Cause they didn't score a lot together?,05:00,05:09,No they said brother [I think they are trying to trick us again] No they are lying!,include,parent,NA,m,67,en,incorrect_response,different
H7QKC6,Julio,07:53,7,viewing,bedroom,05:21,05:45,05:45,[Hm] Because he was in the morning!,05:52,06:03,"That's what I said [What?] *pause* [That's a reindeer?] Yeah, that's Rudolph.",include,parent,NA,m,67,en,target_solution,similar
